"Part";"Value";"Device";"Package";"Library";"Description";"AVAILABILITY";"CHECK_PRICES";"COPYRIGHT";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"POPULARITY";"PRICE";"REFDES";"SNAPEDA_LINK";"SPICEPREFIX";"TYPE";
"3V3";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"BAT+";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"BAT-";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"C1";"1uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C2";"100nF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C3";"10uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C4";"10uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C5";"22uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C6";"22uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C7";"1uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C8";"1uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C9";"100nF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"C10";"10uF";"C-USC0805";"C0805";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"";"C";"";
"GND";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"IO9";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"L1";"74438357010";"74438357010";"IND_74438357010_WRE";"74438357010";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"74438357010";"";"Wurth Electronics";"";"";"";"";"";"";"";"";
"Q1";"MCM3400A-TP";"MCM3400A-TP";"DFN2020-6L_MCE";"MCM3400A-TP";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"MCM3400A-TP";"";"MCC";"";"";"";"";"";"";"";"Transistors";
"R1";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R2";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R3";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R4";"1M";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R5";"220k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R6";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R7";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R8";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R9";"10k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R10";"47k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"R11";"1k";"R-US_R0805";"R0805";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"RX";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"TX";"";"1,6/0,8";"1,6/0,8";"wirepad";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";
"U1";"ESP32-C3-WROOM-02-N4";"ESP32-C3-WROOM-02-N4";"MODULE_ESP32-C3-WROOM-02-H4";"ESP32-C3-WROOM-02-N4";"WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +105 C   Check availability  Check availability";"In Stock";"https://www.snapeda.com/parts/ESP32-C3-WROOM-02-N4/Espressif+Systems/view-part/?ref=eda";"";" WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +85 C ";"";"Espressif Systems";"";"ESP32-C3-WROOM-02-N4";"Package ";"";"None";"";"https://www.snapeda.com/parts/ESP32-C3-WROOM-02-N4/Espressif+Systems/view-part/?ref=snap";"";"";
"U2";"TPS61023DRLR";"TPS61023DRLR";"DRL0006A";"TPS61023";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"TPS61023DRLR";"";"Texas Instruments";"";"";"";"";"RefDes";"";"";"TYPE";
